application,data_structure,best_data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
9,java.util.LinkedList,java.util.LinkedList,27501.0,38677.0,77.0,22779.0,27396.0,4697.0,11188.0,7.0,377.0,223.0,352.0,0.0,47392.0,26339.0,358.0,481.0,231.0,73.0,853.0,788.0,614.0,239.0,118.0,481.0,344.0,120.0,456.0,56.0,6.0,1261.0,723.0,714.0,118.0,657.0,62.0,6.0,111.0,110.0,0.0,751.0,110.0,713.0,6.0,68759.0,92675.0,19.0,256.0,38761.0,1631.0,0.0,23861.0,15868.0,4315.0,2.0,3.0,71778.0,208955.0,0.0,0.0
9,java.util.Vector,java.util.LinkedList,34864.0,45729.0,57.0,30276.0,34772.0,4560.0,10889.0,8.0,439.0,237.0,426.0,0.0,59673.0,40650.0,340.0,621.0,241.0,74.0,963.0,941.0,635.0,235.0,108.0,612.0,466.0,139.0,639.0,60.0,7.0,1581.0,799.0,881.0,110.0,674.0,63.0,8.0,142.0,138.0,0.0,786.0,102.0,811.0,6.0,83184.0,117925.0,9.0,256.0,47891.0,1627.0,0.0,34627.0,17167.0,4344.0,3.0,1.0,81660.0,259651.0,0.0,0.0
10,java.util.ArrayList,java.util.ArrayList,3930.0,6586.0,5.0,3264.0,3927.0,682.0,2658.0,6.0,336.0,181.0,314.0,0.0,9030.0,8405.0,267.0,391.0,151.0,57.0,678.0,611.0,494.0,163.0,90.0,385.0,298.0,87.0,388.0,60.0,6.0,1030.0,574.0,576.0,90.0,510.0,59.0,7.0,87.0,89.0,0.0,576.0,88.0,609.0,6.0,12593.0,19213.0,27.0,186.0,10873.0,1334.0,0.0,6627.0,9964.0,2934.0,1.0,3.0,21610.0,38298.0,0.0,0.0
10,java.util.LinkedList,java.util.ArrayList,4120.0,7047.0,4.0,3384.0,4118.0,763.0,2927.0,7.0,331.0,214.0,331.0,0.0,9933.0,8587.0,307.0,395.0,182.0,64.0,725.0,626.0,612.0,171.0,104.0,391.0,289.0,100.0,393.0,60.0,6.0,1118.0,636.0,608.0,104.0,581.0,61.0,6.0,100.0,97.0,0.0,681.0,102.0,690.0,6.0,13459.0,20794.0,41.0,235.0,11371.0,1214.0,0.0,7396.0,10235.0,3129.0,1.0,2.0,22679.0,41476.0,0.0,0.0
10,java.util.Vector,java.util.ArrayList,4470.0,7269.0,4.0,3761.0,4469.0,741.0,2801.0,7.0,319.0,189.0,338.0,0.0,10281.0,9073.0,265.0,423.0,159.0,64.0,668.0,621.0,524.0,153.0,92.0,405.0,314.0,103.0,406.0,53.0,6.0,1043.0,636.0,580.0,96.0,523.0,54.0,6.0,102.0,100.0,0.0,626.0,92.0,649.0,6.0,13966.0,21285.0,27.0,200.0,11786.0,1108.0,0.0,7398.0,9930.0,3082.0,1.0,1.0,22953.0,43344.0,0.0,0.0
11,java.util.ArrayList,java.util.LinkedList,13644.0,19347.0,24.0,11663.0,13624.0,1982.0,5693.0,8.0,354.0,239.0,362.0,0.0,22282.0,17696.0,340.0,407.0,193.0,86.0,750.0,683.0,631.0,190.0,142.0,409.0,297.0,104.0,407.0,63.0,8.0,1103.0,743.0,623.0,144.0,674.0,61.0,8.0,110.0,105.0,0.0,793.0,124.0,798.0,8.0,33320.0,45687.0,67.0,247.0,24319.0,1603.0,0.0,12366.0,15401.0,5005.0,2.0,1.0,45276.0,102701.0,0.0,0.0
11,java.util.LinkedList,java.util.LinkedList,11778.0,17734.0,33.0,9656.0,11752.0,2123.0,5950.0,9.0,364.0,209.0,345.0,0.0,23197.0,16631.0,389.0,436.0,226.0,91.0,846.0,746.0,635.0,230.0,150.0,431.0,320.0,111.0,426.0,79.0,16.0,1450.0,1372.0,697.0,148.0,660.0,58.0,7.0,113.0,110.0,0.0,765.0,139.0,775.0,8.0,32194.0,46047.0,28.0,278.0,23406.0,1859.0,0.0,13849.0,16710.0,5256.0,2.0,2.0,45559.0,99682.0,0.0,0.0
11,java.util.Vector,java.util.LinkedList,14578.0,20530.0,23.0,12411.0,14559.0,2168.0,5952.0,10.0,398.0,170.0,392.0,0.0,27858.0,21255.0,360.0,480.0,203.0,94.0,834.0,777.0,695.0,207.0,152.0,475.0,344.0,140.0,486.0,63.0,8.0,1269.0,783.0,679.0,152.0,692.0,61.0,8.0,131.0,138.0,0.0,764.0,145.0,800.0,8.0,37590.0,55110.0,89.0,274.0,26892.0,1694.0,0.0,17519.0,16926.0,5412.0,1.0,2.0,49877.0,119382.0,0.0,0.0
12,java.util.ArrayList,java.util.Vector,101576.0,133668.0,212.0,87224.0,101450.0,14425.0,32005.0,12.0,596.0,288.0,563.0,0.0,139366.0,90789.0,388.0,880.0,256.0,86.0,1186.0,1210.0,770.0,242.0,122.0,887.0,677.0,218.0,882.0,80.0,10.0,1999.0,999.0,1086.0,124.0,758.0,83.0,7.0,203.0,202.0,0.0,1024.0,129.0,971.0,13.0,225946.0,284234.0,17.0,282.0,120433.0,3719.0,0.0,58068.0,27170.0,5798.0,3.0,8.0,205054.0,668851.0,0.0,0.0
12,java.util.LinkedList,java.util.Vector,92680.0,127195.0,240.0,74353.0,92500.0,18410.0,34423.0,25.0,592.0,325.0,587.0,0.0,158030.0,83291.0,641.0,844.0,308.0,233.0,1487.0,1385.0,1231.0,321.0,402.0,843.0,653.0,184.0,826.0,81.0,13.0,2191.0,1383.0,1157.0,400.0,1206.0,81.0,14.0,190.0,206.0,0.0,1414.0,397.0,1402.0,15.0,226708.0,305606.0,153.0,515.0,123006.0,5088.0,0.0,78796.0,30434.0,5824.0,7.0,3.0,209206.0,694328.0,0.0,0.0
12,java.util.Vector,java.util.Vector,104749.0,137054.0,216.0,90242.0,104627.0,14586.0,32162.0,11.0,574.0,244.0,603.0,0.0,178254.0,116107.0,381.0,954.0,242.0,87.0,1339.0,1303.0,773.0,235.0,122.0,959.0,738.0,224.0,966.0,71.0,12.0,2263.0,965.0,1256.0,124.0,805.0,70.0,11.0,219.0,218.0,0.0,945.0,117.0,983.0,11.0,251441.0,351434.0,15.0,271.0,128401.0,3086.0,0.0,99741.0,29296.0,4993.0,2.0,4.0,218837.0,772214.0,0.0,0.0
13,java.util.ArrayList,java.util.ArrayList,50328.0,65672.0,117.0,43566.0,50467.0,6951.0,15138.0,16.0,612.0,298.0,608.0,0.0,65857.0,46139.0,416.0,778.0,247.0,104.0,1214.0,1146.0,953.0,260.0,158.0,800.0,579.0,217.0,787.0,84.0,13.0,1920.0,1182.0,1017.0,160.0,939.0,79.0,15.0,223.0,220.0,0.0,1158.0,163.0,1144.0,15.0,107762.0,134730.0,49.0,351.0,57021.0,2483.0,0.0,27227.0,19314.0,5358.0,1.0,9.0,108519.0,326352.0,0.0,0.0
13,java.util.LinkedList,java.util.ArrayList,45912.0,62951.0,140.0,37668.0,45776.0,8244.0,17040.0,12.0,515.0,273.0,523.0,0.0,78195.0,42810.0,466.0,703.0,247.0,138.0,1147.0,1072.0,911.0,247.0,238.0,687.0,515.0,183.0,673.0,72.0,12.0,1754.0,1038.0,931.0,230.0,873.0,76.0,7.0,168.0,162.0,0.0,1063.0,229.0,1022.0,10.0,111831.0,150695.0,54.0,353.0,61918.0,2803.0,0.0,39375.0,21171.0,5209.0,3.0,6.0,111599.0,344119.0,0.0,0.0
13,java.util.Vector,java.util.ArrayList,52185.0,68353.0,126.0,45215.0,52318.0,7133.0,15992.0,18.0,598.0,242.0,605.0,0.0,88302.0,59777.0,408.0,979.0,239.0,110.0,1357.0,1338.0,840.0,239.0,156.0,988.0,736.0,214.0,964.0,73.0,15.0,2340.0,1067.0,1223.0,160.0,869.0,80.0,14.0,225.0,220.0,0.0,1055.0,166.0,1065.0,13.0,123068.0,173835.0,45.0,313.0,65238.0,1932.0,0.0,50951.0,21131.0,5149.0,1.0,4.0,117470.0,385192.0,0.0,0.0
14,java.util.ArrayList,java.util.ArrayList,664378.0,825571.0,1450.0,575574.0,658537.0,89796.0,195837.0,36.0,954.0,356.0,1008.0,0.0,835110.0,537142.0,547.0,1584.0,302.0,179.0,2126.0,2040.0,1276.0,295.0,248.0,1488.0,1095.0,353.0,1472.0,100.0,29.0,3433.0,1686.0,1756.0,240.0,1220.0,102.0,30.0,362.0,360.0,1.0,1578.0,260.0,1556.0,28.0,1454405.0,1658999.0,131.0,435.0,722017.0,10167.0,0.0,305654.0,103888.0,16225.0,11.0,6.0,1227113.0,4135891.0,0.0,0.0
14,java.util.LinkedList,java.util.ArrayList,547804.0,724678.0,1561.0,448885.0,542647.0,100246.0,204319.0,53.0,1099.0,518.0,1122.0,0.0,890479.0,427514.0,1409.0,1484.0,670.0,452.0,2865.0,2570.0,2099.0,643.0,732.0,1436.0,1058.0,424.0,1567.0,112.0,42.0,4169.0,2554.0,2157.0,730.0,2196.0,113.0,43.0,384.0,415.0,1.0,2519.0,720.0,2520.0,44.0,1359331.0,1671059.0,614.0,911.0,705251.0,14403.0,0.0,401750.0,126763.0,15048.0,23.0,5.0,1155518.0,3943649.0,0.0,0.0
14,java.util.Vector,java.util.ArrayList,678819.0,842357.0,1444.0,589105.0,672756.0,90621.0,197927.0,31.0,1042.0,308.0,946.0,0.0,1105337.0,708139.0,554.0,1911.0,328.0,190.0,2407.0,2370.0,1341.0,338.0,252.0,1884.0,1506.0,377.0,1955.0,87.0,31.0,4564.0,1662.0,2191.0,252.0,1277.0,91.0,31.0,386.0,418.0,1.0,1623.0,289.0,1642.0,29.0,1636792.0,2125835.0,121.0,448.0,802278.0,8922.0,0.0,604583.0,128288.0,13139.0,7.0,7.0,1316057.0,4842320.0,0.0,0.0
15,java.util.ArrayList,java.util.ArrayList,375861.0,485155.0,747.0,324137.0,375118.0,51726.0,109288.0,32.0,666.0,222.0,624.0,0.0,485451.0,316461.0,451.0,809.0,186.0,189.0,1234.0,1133.0,1045.0,185.0,280.0,755.0,510.0,251.0,801.0,63.0,27.0,1981.0,1257.0,975.0,276.0,1043.0,70.0,27.0,245.0,247.0,1.0,1237.0,333.0,1335.0,26.0,801161.0,986851.0,112.0,405.0,420561.0,8898.0,0.0,185672.0,57176.0,7676.0,2.0,6.0,695198.0,2396249.0,0.0,0.0
15,java.util.LinkedList,java.util.ArrayList,362031.0,489315.0,861.0,291357.0,361157.0,70657.0,127301.0,79.0,938.0,496.0,952.0,0.0,611676.0,311670.0,1522.0,728.0,398.0,961.0,2232.0,2080.0,3206.0,401.0,1768.0,742.0,410.0,332.0,734.0,93.0,53.0,2822.0,3561.0,1121.0,1770.0,3192.0,94.0,64.0,350.0,334.0,1.0,3503.0,1656.0,3530.0,53.0,861639.0,1169874.0,1605.0,1560.0,475341.0,16380.0,0.0,308244.0,84570.0,7123.0,31.0,7.0,764350.0,2680915.0,0.0,0.0
15,java.util.Vector,java.util.ArrayList,388160.0,501954.0,777.0,335586.0,387397.0,52577.0,113783.0,29.0,579.0,237.0,614.0,0.0,648474.0,416521.0,485.0,842.0,210.0,206.0,1338.0,1245.0,1079.0,198.0,294.0,838.0,637.0,226.0,832.0,70.0,26.0,2090.0,1282.0,1059.0,294.0,1087.0,74.0,27.0,219.0,220.0,2.0,1320.0,345.0,1294.0,28.0,909727.0,1271741.0,68.0,408.0,470776.0,6739.0,0.0,361989.0,70148.0,6218.0,2.0,3.0,754895.0,2818949.0,0.0,0.0
16,java.util.ArrayList,java.util.ArrayList,343569.0,441216.0,704.0,297400.0,342907.0,46170.0,97651.0,16.0,784.0,294.0,772.0,0.0,430735.0,284317.0,492.0,1209.0,291.0,131.0,1760.0,1675.0,1015.0,297.0,200.0,1242.0,909.0,285.0,1199.0,88.0,15.0,3023.0,1396.0,1513.0,198.0,1020.0,90.0,14.0,304.0,292.0,2.0,1308.0,226.0,1303.0,15.0,721612.0,879324.0,31.0,360.0,381966.0,5750.0,0.0,157725.0,52974.0,9707.0,3.0,5.0,630322.0,2157217.0,0.0,0.0
16,java.util.LinkedList,java.util.ArrayList,295663.0,402367.0,787.0,241448.0,294855.0,54214.0,106709.0,34.0,906.0,419.0,934.0,0.0,489849.0,241250.0,934.0,1281.0,439.0,399.0,2156.0,2016.0,1926.0,430.0,710.0,1234.0,883.0,344.0,1236.0,103.0,26.0,3330.0,2207.0,1699.0,702.0,1863.0,107.0,25.0,354.0,388.0,2.0,2201.0,685.0,2282.0,26.0,706437.0,938884.0,376.0,813.0,387942.0,9072.0,0.0,232452.0,67347.0,8905.0,14.0,9.0,621907.0,2160586.0,0.0,0.0
16,java.util.Vector,java.util.ArrayList,352414.0,453069.0,738.0,305671.0,351746.0,46757.0,100658.0,18.0,765.0,289.0,815.0,0.0,584620.0,377448.0,536.0,1545.0,327.0,147.0,2069.0,2047.0,1104.0,316.0,210.0,1558.0,1246.0,321.0,1558.0,90.0,16.0,3682.0,1430.0,1912.0,218.0,1092.0,85.0,16.0,318.0,304.0,1.0,1356.0,231.0,1395.0,16.0,819252.0,1143625.0,42.0,385.0,414585.0,5151.0,0.0,324441.0,70334.0,8579.0,4.0,4.0,685505.0,2543394.0,0.0,0.0
17,java.util.ArrayList,java.util.ArrayList,5982.0,9061.0,15.0,5036.0,5959.0,927.0,3094.0,6.0,328.0,171.0,330.0,0.0,11299.0,10038.0,269.0,412.0,170.0,53.0,702.0,637.0,480.0,168.0,80.0,431.0,307.0,114.0,427.0,54.0,6.0,1040.0,595.0,590.0,78.0,502.0,55.0,6.0,113.0,116.0,1.0,574.0,76.0,601.0,6.0,16233.0,23556.0,5.0,192.0,15272.0,1228.0,0.0,7334.0,11133.0,3357.0,1.0,1.0,26044.0,50083.0,0.0,0.0
17,java.util.LinkedList,java.util.ArrayList,5649.0,8963.0,15.0,4656.0,5627.0,977.0,3338.0,7.0,351.0,183.0,350.0,0.0,12033.0,9866.0,309.0,426.0,186.0,64.0,754.0,677.0,531.0,182.0,96.0,414.0,299.0,120.0,415.0,57.0,5.0,1114.0,672.0,626.0,94.0,542.0,56.0,7.0,110.0,108.0,2.0,596.0,104.0,648.0,6.0,16513.0,24747.0,7.0,198.0,16351.0,1393.0,0.0,8214.0,11553.0,3794.0,1.0,2.0,26753.0,51351.0,0.0,0.0
17,java.util.Vector,java.util.ArrayList,6530.0,9722.0,18.0,5498.0,6502.0,1005.0,3226.0,7.0,415.0,163.0,415.0,0.0,13321.0,11223.0,299.0,488.0,179.0,63.0,802.0,749.0,521.0,191.0,88.0,497.0,343.0,145.0,515.0,58.0,6.0,1270.0,706.0,699.0,88.0,544.0,59.0,7.0,144.0,144.0,1.0,654.0,96.0,680.0,8.0,17921.0,26884.0,6.0,185.0,17430.0,1230.0,0.0,8954.0,11880.0,3546.0,0.0,1.0,28112.0,56879.0,0.0,0.0
18,java.util.ArrayList,java.util.LinkedList,283653.0,384276.0,525.0,241346.0,283956.0,43838.0,97898.0,39.0,869.0,344.0,864.0,0.0,416498.0,256759.0,574.0,1231.0,321.0,167.0,1681.0,1590.0,1203.0,317.0,226.0,1102.0,801.0,321.0,1121.0,98.0,36.0,2907.0,1534.0,1510.0,240.0,1237.0,95.0,36.0,324.0,329.0,2.0,1558.0,339.0,1465.0,34.0,674485.0,849213.0,110.0,440.0,348268.0,13783.0,0.0,177787.0,60706.0,9930.0,5.0,7.0,572706.0,1944060.0,0.0,0.0
18,java.util.LinkedList,java.util.LinkedList,249192.0,346804.0,609.0,197872.0,249226.0,53087.0,95455.0,62.0,1088.0,475.0,1117.0,0.0,432103.0,220116.0,1148.0,1306.0,596.0,363.0,2330.0,2190.0,1916.0,576.0,586.0,1242.0,848.0,372.0,1231.0,118.0,50.0,3470.0,2217.0,1814.0,582.0,1962.0,116.0,50.0,375.0,395.0,3.0,2316.0,652.0,2271.0,50.0,632980.0,827139.0,381.0,806.0,333411.0,15779.0,0.0,198066.0,68222.0,10535.0,10.0,6.0,550313.0,1882077.0,0.0,0.0
18,java.util.Vector,java.util.LinkedList,292768.0,388916.0,535.0,250339.0,293075.0,43977.0,93424.0,38.0,898.0,341.0,925.0,0.0,509313.0,323869.0,583.0,1299.0,345.0,177.0,1926.0,1813.0,1295.0,334.0,240.0,1374.0,986.0,334.0,1298.0,92.0,34.0,3155.0,1521.0,1666.0,234.0,1182.0,92.0,37.0,332.0,364.0,1.0,1615.0,287.0,1771.0,34.0,728712.0,1002661.0,79.0,440.0,363623.0,9771.0,0.0,279146.0,64702.0,8797.0,5.0,5.0,598675.0,2192156.0,0.0,0.0
19,java.util.ArrayList,java.util.ArrayList,5211.0,7928.0,7.0,4352.0,5206.0,858.0,2714.0,10.0,434.0,224.0,418.0,0.0,10229.0,9196.0,350.0,426.0,228.0,72.0,791.0,727.0,644.0,225.0,98.0,428.0,309.0,127.0,428.0,76.0,10.0,1167.0,743.0,667.0,102.0,632.0,79.0,9.0,125.0,122.0,4.0,736.0,125.0,742.0,9.0,14545.0,22198.0,27.0,235.0,16849.0,1764.0,0.0,7624.0,12131.0,3337.0,1.0,1.0,25257.0,44829.0,0.0,0.0
19,java.util.LinkedList,java.util.ArrayList,12085.0,16173.0,17.0,9173.0,12067.0,2902.0,4086.0,19.0,445.0,265.0,458.0,0.0,22396.0,17388.0,570.0,491.0,289.0,183.0,1034.0,949.0,946.0,288.0,312.0,480.0,331.0,161.0,478.0,77.0,13.0,1476.0,1077.0,771.0,318.0,942.0,70.0,11.0,150.0,150.0,3.0,1089.0,405.0,1080.0,14.0,29092.0,46105.0,118.0,411.0,30627.0,3454.0,0.0,17003.0,14901.0,3989.0,2.0,2.0,41589.0,99657.0,0.0,0.0
19,java.util.Vector,java.util.ArrayList,5638.0,8452.0,7.0,4741.0,5633.0,895.0,2815.0,16.0,439.0,178.0,429.0,0.0,11450.0,10249.0,362.0,481.0,235.0,73.0,833.0,777.0,617.0,229.0,104.0,469.0,337.0,137.0,505.0,72.0,13.0,1295.0,708.0,715.0,106.0,596.0,73.0,15.0,136.0,132.0,4.0,730.0,137.0,744.0,12.0,15818.0,23941.0,28.0,219.0,19505.0,2559.0,0.0,8104.0,12524.0,3343.0,1.0,1.0,26720.0,49323.0,0.0,0.0